"","date","PAR_fnf","DNP_fnf","FOL_fnf","ISB_fnf","KWH_fnf","EXC_fnf","MIL_fnf","NHG_fnf","NML_fnf","ORO_fnf","PFT_fnf","SHA_fnf","SUC_fnf","YRS_fnf"
"1",2006-10-01,0.528917624570472,9.36209004249227,1.18387668966174,1.32492546305581,1.80827020032386,12.4674827849406,14.3216416771018,0.0269482260131687,4.85449787069188,2.02813838243158,14.5719473217024,1.38748676156896,0.0496578170865166,2.99495738241002
"2",2006-10-02,0.974891156981117,16.2582524302454,1.12813276699711,4.42201401190823,3.49410713252478,20.7729189798046,25.0281521871246,0.0475908589399972,5.38661843726873,18.660789479416,29.6900142911482,40.5412329931902,0.987961220086497,5.79575831092275
"3",2006-10-03,0.0357413494152092,10.7504381722658,0.0685825857220047,3.64670934171544,3.47327520358468,13.1158697757833,19.8079326177424,0.00068364879743174,0.30246812090146,0.47393993459112,24.2864517866139,27.9998236283192,0.0869707637445448,0.430847960011823
"4",2006-10-04,0.212781314480279,7.5600222410923,0.814911766594993,3.09347887085214,2.83671935864129,8.42488348157176,12.6013898391429,0.0398804553353615,1.0780794385905,22.0929956448756,15.4060991062013,284.216059657412,0.0443950029998712,1.27393204945809
"5",2006-10-05,5.84737358323967,13.501111910641,27.4928122971838,2.90578154613839,2.37860013564586,11.0127552819251,10.661422983464,2.33943308018972,18.9305887326087,407.16937456842,11.444389795314,570.609215037901,0.0424390730340183,87.9253330492546
"6",2006-10-06,1.01420283678408,10.4503144375037,2.72348401838031,2.50045221497645,2.24551117141698,9.16970276540632,10.1709448167753,0.0138949458875899,5.54505813060065,95.9889243565538,9.49179087027717,89.1520990725036,0.087070302090583,70.5537133453128
"7",2006-10-07,4.91471680713269,9.8936262248779,2.0936745786827,2.33343591949297,2.19966360985687,9.07596627607819,10.1637267296584,0.0141169827660942,17.361430312811,36.956155587956,9.08271200176288,2.65033710924828,0.0467963483178077,118.200335125847
"8",2006-10-08,3.51295404818907,8.25596218763898,1.16260730987696,2.12567404820676,2.16464176016786,7.41512772198381,8.43824269863739,0.012738383633242,4.87197517847601,3.38482892984042,8.60442259919016,2.64204279639538,0.0492798302609188,1.5120873619808
"9",2006-10-09,1.08524739572353,6.28944947103108,1.5764168106669,1.95530173876644,2.00974419268936,5.85793751316683,7.09227837382787,0.010906172125363,3.24375825256294,3.42394820438041,7.62900586432599,2.81940873913935,0.0491795211116454,1.35861888171659
"10",2006-10-10,0.759250637829968,5.26456547815198,0.780369080091866,1.8221360657675,1.8273234905452,4.89865656611006,6.24541597310028,0.0136213398513316,2.91864139910197,3.40578200039347,6.84423165232376,2.75488704971716,0.0493508237523674,1.18377824200378
"11",2006-10-11,0.586185184012065,5.85802453316137,0.661295397144347,1.71153704669396,1.68113808607447,5.07065689222522,6.56894407590876,0.00989977777180082,3.04786121218143,3.41685527856697,6.96901405779061,2.75579883975921,0.0493582971924302,1.04142088070995
"12",2006-10-12,0.483412746232558,6.64341399539094,0.564817930061478,1.6281997798674,1.54626382701188,4.38433935680441,6.32988971219541,0.00744265879531486,2.31507248428428,3.01486211798586,6.51589478656051,2.72102908416758,0.0487793736930363,0.918683115350128
"13",2006-10-13,0.403994632567537,5.42495356687008,0.485183111040072,2.20553489610961,2.09451464572755,3.72667551883346,5.85458698043844,0.00659124556389182,1.78212665787335,2.84597272724927,6.20388516385102,2.67321471716951,1.1723968565992,0.811996161854563
"14",2006-10-14,0.345038792996478,5.54728083310631,0.421698040633532,23.3423171088129,4.32924212574692,3.42703921193574,5.58513505966549,0.00640520609742314,2.01671676283001,2.67593662147175,5.99812235217434,2.61765651309211,10.9403043196487,0.723443665048253
"15",2006-10-15,0.29838346172454,5.62436489750629,0.371695720571513,11.9947417346004,5.14158802988462,3.26095955636029,5.32776624622091,0.00535156848754163,1.45373943141912,2.51338953132226,6.72565599891595,2.7791986160483,0.181227419395157,0.652706459097328
"16",2006-10-16,0.2651740673422,4.98706107241842,0.444422019925819,4.03434751843699,3.16229522769591,2.95744043787872,4.91113722774502,0.00520423668158101,1.30421852445264,4.07872690270884,6.76087973717265,358.563708106069,0.220356546041182,1.53187947172974
"17",2006-10-17,0.240537354308535,4.56357941669954,0.328118127328289,2.97336407968895,2.53817679640515,2.7123301623923,4.54021784015624,0.00475386203867502,1.18398764849477,5.23458610464799,6.29975963669178,164.029173154593,0.292248777305388,0.917143394955674
"18",2006-10-18,0.215734944646841,4.03616737557802,0.284712189349598,3.06552539448829,2.36284975508148,2.48749289413863,4.27411295005042,0.00416903154599685,1.07405692422993,2.26230031536331,5.76059250495488,4.15983413500014,0.236904350973059,0.535592870552147
"19",2006-10-19,0.196336435149627,3.51505597991119,0.261960186971684,2.92031543844106,2.20430864114398,2.25611760729146,3.89213565126172,0.00384352486733662,0.976690740061986,2.19993900054578,5.27773323371757,8.90051132936112,0.23320475098224,0.501651860281656
"20",2006-10-20,0.178678505245471,3.04600619152033,0.240036651725286,2.6579098850532,2.03806004591088,2.03879709212407,3.57502988286698,0.00353982227419327,0.887475977985909,2.11627748849266,4.82891344435262,4.95262774039491,0.22443546081752,0.46696770528283
"21",2006-10-21,0.163174748735354,2.67080127348723,0.220022847244793,2.40563348323774,1.88479133582554,1.84943406470287,3.28004250154916,0.00325207057237535,0.808588133706254,2.02611595055981,4.41803713579491,4.53890552975188,0.213564483470834,0.434420086884953
